mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev
med,ben,40000,66.8996997563301,64.02961417066918,69.76978534199101,32.63190127684853
med,ben,39800,66.24954951623951,63.39728685068835,69.10181218179068,32.42926071017262
med,ben,39600,65.88005813602759,63.02860581720383,68.73151045485135,32.42004734227136
med,ben,39400,65.54411514963341,62.69747854282971,68.39075175643711,32.36529432723895
med,ben,39200,65.57178866873117,62.728170150935156,68.41540718652719,32.3309796771687
med,ben,39000,65.2308203233755,62.393719427559844,68.06792121919115,32.2568765221668
med,ben,38800,64.88284421306398,62.09130538008709,67.67438304604086,31.738851295340012
med,ben,38600,64.42899331688417,61.64536504771725,67.2126215860511,31.648910863395912
med,ben,38400,63.83246438199764,61.06564562753931,66.59928313645597,31.457792372984674
med,ben,38200,63.445995542591774,60.689748264301116,66.20224282088243,31.337598268537892
med,ben,38000,63.213382438887635,60.48496329251031,65.94180158526497,31.021201831493787
med,ben,37800,62.769466896786206,60.051366021756216,65.48756777181619,30.90388658011716
med,ben,37600,62.27061160940701,59.56754830959848,64.97367490921555,30.732914441682944
med,ben,37400,62.18629631012665,59.4865941694678,64.88599845078551,30.694699200264328
med,ben,37200,61.978584148568025,59.29662441839724,64.6605438787388,30.49297400072582
med,ben,37000,61.63906596895757,58.970185008098085,64.30794692981705,30.344272822223985
med,ben,36800,61.45665125366866,58.78364592987219,64.12965657746513,30.391165432277774
med,ben,36600,61.373487666086604,58.714556447834596,64.03241888433861,30.231147617833074
med,ben,36400,61.230968005095086,58.577531311907975,63.8844046982822,30.168676728331878
med,ben,36200,60.874342337999686,58.239370014668296,63.509314661331075,29.958743095243943
med,ben,36000,60.54764803170821,57.93504695962207,63.16024910379436,29.704389543655928
med,ben,35800,60.13066898544403,57.51995200278022,62.74138596810784,29.68296808489055
med,ben,35600,59.80509065303763,57.21183554079916,62.398345765276105,29.48443253087234
med,ben,35400,59.45234478620093,56.8626455270986,62.042044045303264,29.44400368475252
med,ben,35200,59.23742216387733,56.65596241319132,61.81888191456335,29.35032326401719
