mut_rate,chrom,time,mean_heterozygosity,CI_5%,CI_95%,stdev,Ne,Fis
med,del,39801,7.539396939013717,7.047159364854471,8.031634513172964,5.5965745429229345,753.9396939013717,0.00121239298183128
med,del,39601,7.790022473696067,7.311434963362581,8.268609984029553,5.44137793923617,779.0022473696066,-0.006785381841348674
med,del,39401,7.562819904694508,7.08205069781833,8.043589111570686,5.4661830901880615,756.2819904694508,-0.02378776648419582
med,del,39201,7.490841416519583,7.027268962407605,7.954413870631561,5.270661834206249,749.0841416519582,0.000988259037574181
med,del,39001,7.45340245751764,6.9815131736025,7.925291741432781,5.365221372928377,745.340245751764,0.028740128413546347
med,del,38801,7.307452942091742,6.834123030536945,7.780782853646539,5.381600821384138,730.7452942091742,0.014253653194391888
med,del,38601,7.243674214119059,6.7518506931157685,7.735497735122349,5.591866898741158,724.3674214119059,-0.029128393799045065
med,del,38401,7.232092657071273,6.747530155819381,7.716655158323165,5.509311562802523,723.2092657071272,0.017550955563161785
med,del,38201,7.222615532010924,6.752682534966091,7.692548529055758,5.342979053626128,722.2615532010924,0.032874371345313465
med,del,38001,7.65528878237822,7.1812401887101,8.129337376046339,5.389771993661564,765.5288782378219,0.04051822181292488
med,del,37801,7.277201828034315,6.8166398726018675,7.737763783466762,5.236433483596997,727.7201828034314,-0.014161522194779959
med,del,37601,7.144630696547946,6.653110546244003,7.636150846851889,5.58841767661313,714.4630696547945,0.004231339940356491
med,del,37401,7.338546967999575,6.84243704368081,7.834656892318339,5.640601853030367,733.8546967999574,0.02813792786103596
med,del,37201,7.244452734813537,6.758086570894939,7.730818898732135,5.52981859658951,724.4452734813536,-0.018479782333697767
med,del,37001,7.392837551345506,6.900354002488396,7.885321100202616,5.599371191948797,739.2837551345506,-0.007932861103031368
med,del,36801,7.647697019761437,7.153780598342626,8.141613441180247,5.615662467794124,764.7697019761436,0.02650246167234611
med,del,36601,7.5474905114233595,7.07808740321358,8.016893619633139,5.336954396995832,754.7490511423359,0.03235870938315805
med,del,36401,7.246072622155028,6.7720800506645284,7.720065193645527,5.389135040471541,724.6072622155027,0.0011824198328373812
med,del,36201,6.9835224150406425,6.522386174786051,7.444658655295234,5.2429629075677,698.3522415040642,0.026247570772706348
med,del,36001,7.012958319114795,6.549242709125642,7.476673929103948,5.2722894680560906,701.2958319114795,0.009363481776341808
med,del,35801,7.152091158163439,6.680234355190224,7.623947961136654,5.3648520756169695,715.2091158163439,-0.009334905517862107
med,del,35601,7.153450909532528,6.688772241445171,7.618129577619885,5.2832391125340985,715.3450909532528,-0.0532594778517876
med,del,35401,7.1138236811342175,6.632235652981893,7.595411709286542,5.475492810838931,711.3823681134216,-0.009105633140144656
med,del,35201,7.278136796506899,6.811385553948016,7.744888039065781,5.306803582486368,727.8136796506898,0.02958973927143419
med,del,35001,7.230769438678813,6.747845628784482,7.7136932485731435,5.490680196940008,723.0769438678813,-0.04951026694223263
med,del,34801,7.30945337314799,6.838796325884336,7.780110420411645,5.351211259445384,730.945337314799,-0.015205202214462366
med,del,34601,7.369340845122122,6.884353961997177,7.854327728247067,5.5141366410003,736.9340845122122,-0.007326932907761449
med,del,34401,7.1616567506901445,6.702177952426681,7.621135548953608,5.224118353350641,716.1656750690144,0.0021905903334931854
med,del,34201,7.013849616034787,6.560981502537416,7.466717729532158,5.14895710598673,701.3849616034787,-0.004590535944759078
med,del,34001,7.579514477832273,7.128653473546821,8.030375482117725,5.126136953869165,757.9514477832272,-0.024095708600264165
med,del,33801,7.2747453910930036,6.795956297336014,7.753534484849993,5.443669874503771,727.4745391093003,-0.0447772561479847
med,del,33601,6.997728095145049,6.554773384001133,7.440682806288964,5.036245077978982,699.7728095145048,-0.025266639256687467
med,del,33401,6.956580563381607,6.490292715750548,7.422868411012666,5.301534939065952,695.6580563381606,0.005769838218448392
med,del,33201,6.95797469797467,6.491603943038351,7.424345452910989,5.302477567053735,695.797469797467,0.011056172170224546
med,del,33001,7.075347226012128,6.606125453853295,7.544568998170961,5.33489266749829,707.5347226012127,0.013754836966131254
med,del,32801,7.594377030031581,7.103524009548778,8.085230050514385,5.580832636441841,759.437703003158,0.01685189821177538
med,del,32601,7.392869490801597,6.899549971372612,7.886189010230582,5.608875894285222,739.2869490801596,0.050159084373963235
med,del,32401,7.338221303812532,6.874497300163383,7.801945307461682,5.272384901128087,733.8221303812531,-0.020619808511880985
med,del,32201,7.153052611691383,6.694976452190953,7.6111287711918125,5.208170825558767,715.3052611691382,-0.027372788818013673
med,del,32001,7.1855044823438625,6.713979427026785,7.65702953766094,5.361080217098895,718.5504482343862,0.013112590985938439
med,del,31801,7.153810108836509,6.67630805472453,7.631312162948487,5.429036669541102,715.3810108836508,0.010409150818076151
med,del,31601,7.060088131740063,6.608190960714188,7.511985302765938,5.1379178188540795,706.0088131740063,0.03305533016958741
med,del,31401,7.346929587441267,6.879953326769341,7.813905848113192,5.3093619622388735,734.6929587441266,-0.008504511468221603
med,del,31201,7.135369256321229,6.642331345620874,7.628407167021584,5.605674098395492,713.5369256321228,0.003007175627659501
med,del,31001,7.493392066012595,7.036121241925829,7.950662890099362,5.199014434597915,749.3392066012595,0.04012125423350099
med,del,30801,6.841284225242011,6.393536736479816,7.289031714004206,5.0907373366290125,684.128422524201,-0.037531072037934494
med,del,30601,7.267600120868729,6.785366845839736,7.749833395897722,5.482829049341312,726.7600120868728,0.021091666941472208
med,del,30401,7.293691503205674,6.826056078411567,7.761326927999781,5.316856435110253,729.3691503205674,-0.02316879445069843
med,del,30201,7.050671253455788,6.581129629077061,7.520212877834515,5.338529278934161,705.0671253455788,-0.03382584088021972
med,del,30001,7.191776651655768,6.7321754959972315,7.651377807314305,5.225509515501522,719.1776651655769,0.04638463361881713
med,del,29801,7.161569669051618,6.677918318461863,7.645221019641372,5.498952088296345,716.1569669051618,-0.024699472438967675
med,del,29601,7.206522468296633,6.733433947660219,7.679610988933047,5.378856288378866,720.6522468296632,-0.008485784527349374
med,del,29401,7.168543273171369,6.70490847520429,7.632178071138448,5.271370662728646,716.8543273171368,0.013361045991027718
med,del,29201,7.136990206391824,6.670859860832247,7.6031205519514,5.299744193844554,713.6990206391823,-0.029176276965951285
med,del,29001,7.120189352292482,6.676047356145494,7.56433134843947,5.049744106440463,712.0189352292482,0.002228202282986968
